bin,lum_mean,n,accuracy
0,11.675845718722014,442,0.7126696832579186
1,23.51035802709502,442,0.746606334841629
2,33.90241940100371,441,0.7551020408163265
3,46.402752039862065,442,0.7058823529411765
4,72.70988593122716,442,0.7036199095022625
