class,accuracy,n
Bicycle,0.7551020408163265,196
Boat,0.9656862745098039,204
Bottle,0.676829268292683,164
Bus,0.879746835443038,158
Car,0.743455497382199,191
Cat,0.751131221719457,221
Chair,0.6288659793814433,194
Cup,0.7115384615384616,156
Dog,0.7458333333333333,240
Motorbike,0.7814569536423841,151
People,0.5300546448087432,183
Table,0.47019867549668876,151
