severity,accuracy,mean_cosine_sim_to_clean
0,0.9133333333333333,1.0
1,0.9,0.9464399218559265
2,0.86,0.809950053691864
3,0.6033333333333334,0.5893376469612122
4,0.22,0.30917584896087646
5,0.09333333333333334,0.1614965796470642
